0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,-2.0,-1.5,-1.0,-0.75,-0.5,-0.25,0.0,0.25,0.5,0.75,1.0,1.5,2.0,3.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0,85.0,90.0,95.0
1,0.0117,0.0126,0.0126,0.0126,0.0126,0.0126,0.0126,0.0126,0.0135,0.0135,0.0135,0.0135,0.0135,0.0144,0.0144,0.0162,0.0171,0.018,0.0197999999999999,0.0225,0.0252,0.0252,0.0225,0.0171,0.0072,-0.0036,-0.0126,-0.018,-0.0197999999999999,-0.0225,-0.0252,-0.0279,-0.0306
2,0.018,0.0189,0.0189,0.0189,0.0189,0.0197999999999999,0.0197999999999999,0.0197999999999999,0.0197999999999999,0.0197999999999999,0.0197999999999999,0.0207,0.0207,0.0216,0.0225,0.0261,0.0315,0.0369,0.0414,0.0423,0.036,0.0252,0.0098999999999999,-0.0081,-0.0234,-0.0324,-0.0387,-0.0441,-0.0504,-0.0567,-0.0612,-0.0648,-0.0675
3,0.0252,0.0261,0.027,0.027,0.027,0.0279,0.0279,0.0288,0.0288,0.0297,0.0297,0.0306,0.0315,0.0332999999999999,0.0369,0.0468,0.0567,0.063,0.0594,0.0458999999999999,0.0252,-0.0009,-0.0279,-0.0477,-0.0594,-0.0702,-0.0828,-0.0945,-0.1044,-0.1134,-0.1197,-0.1242,-0.1268999999999999
4,0.036,0.0378,0.0387,0.0395999999999999,0.0405,0.0414,0.0423,0.0432,0.0441,0.045,0.0458999999999999,0.0477,0.0495,0.0531,0.0603,0.0783,0.0891,0.0828,0.0621,0.0297,-0.0098999999999999,-0.0495,-0.0765,-0.0945,-0.1134,-0.135,-0.1548,-0.1719,-0.1872,-0.198,-0.207,-0.2124,-0.216
5,0.054,0.0576,0.0603,0.0621,0.063,0.0648,0.0665999999999999,0.0675,0.0693,0.0711,0.072,0.0756,0.0783,0.0837,0.0954,0.1188,0.1152,0.0891,0.045,-0.009,-0.0648,-0.108,-0.135,-0.162,-0.1971,-0.2295,-0.2583,-0.2826,-0.3033,-0.3186,-0.3294,-0.3375,-0.3411
6,0.0819,0.0864,0.0909,0.0926999999999999,0.0954,0.0972,0.099,0.1017,0.1035,0.1062,0.108,0.1125,0.117,0.126,0.1431,0.1566,0.1314,0.0791999999999999,0.0108,-0.0657,-0.1341,-0.1773,-0.2133,-0.2618999999999999,-0.3132,-0.3591,-0.3996,-0.4329,-0.4599,-0.4806,-0.4959,-0.5058,-0.5094
7,0.1179,0.1242,0.1314,0.1341,0.1377,0.1404,0.144,0.1476,0.1512,0.1539,0.1575,0.1638,0.1701,0.1818,0.1962,0.1872,0.1331999999999999,0.0522,-0.0414,-0.1377,-0.2133,-0.2646,-0.3231,-0.3969,-0.468,-0.5301,-0.5841000000000001,-0.6282,-0.6633,-0.6912,-0.7119000000000001,-0.7245,-0.7263000000000001
8,0.1656,0.1755,0.1845,0.189,0.1935,0.198,0.2034,0.207,0.2115,0.2150999999999999,0.2187,0.2259,0.2313,0.2394,0.2421,0.2061,0.1224,0.0135,-0.108,-0.225,-0.3087,-0.3771,-0.4689,-0.5715,-0.6651,-0.7479,-0.8181,-0.8757,-0.9216,-0.9585,-0.9855,-0.9999,-0.999
9,0.2268,0.2385,0.2493,0.2547,0.2592,0.2637,0.2673,0.2718,0.2745,0.2772,0.2799,0.2844,0.2871,0.2889,0.2826,0.2124,0.1008,-0.0369,-0.189,-0.3267,-0.4239,-0.5202,-0.6543,-0.7893,-0.9108,-1.017,-1.107,-1.1808,-1.2411,-1.2888,-1.3221,-1.3392,-1.3338
10,0.2934,0.3042,0.3141,0.3186,0.3222,0.3249,0.3276,0.3303,0.3321,0.333,0.3339,0.3366,0.3357,0.3321,0.3132,0.2097,0.0675,-0.1008,-0.2835,-0.4455,-0.5643,-0.7020000000000001,-0.882,-1.0557,-1.2096,-1.3437,-1.4571,-1.5516,-1.6281,-1.6884,-1.7298,-1.7487,-1.7388
11,0.3573,0.3662999999999999,0.3735,0.3762,0.3771,0.378,0.3797999999999999,0.3797999999999999,0.3807,0.3797999999999999,0.3797999999999999,0.3771,0.3744,0.3654,0.3303,0.2025,0.0279,-0.1764,-0.3933,-0.5832,-0.7325999999999999,-0.9252,-1.1583,-1.3752,-1.566,-1.7343000000000002,-1.8756,-1.9935,-2.0898000000000003,-2.1645,-2.2149,-2.2347,-2.2203
12,0.4104,0.4158,0.4185,0.4194,0.4185,0.4185,0.4185,0.4176,0.4158,0.4149,0.4113,0.4068,0.4005,0.3834,0.3411,0.1908,-0.018,-0.2637,-0.522,-0.7424999999999999,-0.9333,-1.1943,-1.485,-1.7523000000000002,-1.9863,-2.1933,-2.367,-2.5128,-2.6325,-2.7234,-2.7846,-2.8044,-2.7837
13,0.4464,0.4464,0.4437,0.4428,0.4419,0.441,0.4392,0.4374,0.4356,0.4329,0.4301999999999999,0.423,0.4149,0.396,0.3465,0.1728,-0.072,-0.3636,-0.6705,-0.9243,-1.1727,-1.5111,-1.8666,-2.1915,-2.4759,-2.7261,-2.9394,-3.1176,-3.2625,-3.3732,-3.4461000000000004,-3.4650000000000003,-3.4362
7.5,0.4509,0.4527,0.4536,0.4536,0.4527,0.4518,0.45,0.4482,0.4464,0.4437,0.4401,0.4338,0.4256999999999999,0.4059,0.3492,0.1494,-0.135,-0.4779,-0.8397000000000001,-1.134,-1.4526,-1.8801,-2.3085,-2.6973,-3.0402,-3.3408,-3.5973,-3.8124,-3.987,-4.1193,-4.2048,-4.2228,-4.1859
