lambda,cp
0.4119415851,0.0021
0.4394043575,0.0022
0.470790383,0.0024
0.5070050279,0.0026
0.5492554469,0.0028
0.5991877602,0.0031
0.6591065362,0.0034
0.7323405958,0.0039
0.8238831703,0.0045
0.8513459426500001,0.004699999999999999
0.878808715,0.0049
0.9415807661,0.0053
0.97779541105,0.005549999999999999
1.014010056,0.0058
1.098510894,0.0065
1.148443207,0.0069
1.19837552,0.0073
1.235824755,0.0076
1.318213072,0.0083
1.318213072,0.0083
1.3652921105,0.00875
1.412371149,0.0092
1.464681192,0.0098
1.521015084,0.0106
1.647766341,0.0127
1.647766341,0.0127
1.647766341,0.0127
1.7026918855000002,0.01405
1.75761743,0.0154
1.797563281,0.0166
1.883161532,0.0194
1.9302405705,0.021249999999999998
1.977319609,0.0231
2.028020111,0.0254
2.059707926,0.0269
2.197021787,0.0344
2.197021787,0.0344
2.197021787,0.0344
2.197021787,0.0344
2.275486851,0.0398
2.353951915,0.0452
2.396751041,0.0485
2.471649511,0.0546
2.503337325,0.05735
2.535025139,0.0601
2.636426145,0.0693
2.636426145,0.0693
2.6913516895000003,0.0745
2.746277234,0.0797
2.824742298,0.0874
2.854166697,0.0903
2.883591096,0.0932
2.929362383,0.0979
2.995938801,0.1047
3.042030167,0.1094
3.075830502,0.1129
3.295532681,0.1361
3.295532681,0.1361
3.295532681,0.1361
3.295532681,0.1361
3.295532681,0.1361
3.295532681,0.1361
3.4053837705000003,0.14845
3.51523486,0.1608
3.549035195,0.1648
3.595126561,0.1702
3.661702979,0.1782
3.707474266,0.1837
3.766323064,0.1909
3.8055555959999996,0.19574999999999998
3.844788128,0.2006
3.954639217,0.2146
3.954639217,0.2146
4.00533972,0.2212
4.056040223,0.2278
4.119415851,0.2363
4.1568650865,0.24145
4.194314322,0.2466
4.237113447,0.2525
4.394043575,0.2747
4.394043575,0.2747
4.394043575,0.2747
4.394043575,0.2747
4.462700506,0.28454999999999997
4.531357437,0.2944
4.563045251,0.299
4.613745754,0.3063
4.70790383,0.3196
4.750702956,0.3256
4.793502082,0.3316
4.833447932,0.3372
4.943299022,0.353
4.943299022,0.353
4.943299022,0.353
5.0066746505,0.36195
5.070050279,0.3709
5.126384171,0.3785
5.178694213,0.3852
5.27285229,0.3962
5.27285229,0.3962
5.3140464485,0.40045
5.355240607,0.4047
5.392689842,0.4083
5.492554469,0.4168
5.534804888,0.4194
5.577055307,0.422
5.649484596,0.4272
5.6808706215,0.42905000000000004
5.712256647,0.4309
5.767182192,0.434
5.8129534795,0.43645
5.858724767,0.4389
5.931958826,0.4427
5.991877602,0.4456
6.041809915,0.448
6.084060334,0.45
6.120274979,0.4517
6.151661005,0.4531
6.591065362,0.4702
6.591065362,0.4702
6.591065362,0.4702
6.591065362,0.4702
6.591065362,0.4702
6.591065362,0.4702
6.591065362,0.4702
6.591065362,0.4702
6.591065362,0.4702
6.591065362,0.4702
6.591065362,0.4702
6.844567876,0.47685
7.09807039,0.4835
7.140320809,0.4841
7.190253123,0.4847
7.250171899,0.4852
7.323405958,0.4858
7.414948533,0.4863
7.532646128,0.4867
7.689576256,0.48675
7.689576256,0.4868
7.789440883,0.4865
7.909278435,0.4859
7.9825124945,0.48535
8.055746554,0.4848
8.238831703,0.4829
8.313730173,0.4819
8.388628643,0.4809
8.474226894,0.4796
8.568384971,0.478
8.78808715,0.4739
8.78808715,0.4739
8.9254010115,0.47095
9.062714873,0.468
9.227491507,0.4642
9.321649584,0.46185
9.415807661,0.4595
9.520427746,0.4568
9.886598044,0.447
9.886598044,0.447
10.069683192,0.4417
10.25276834,0.4364
10.35738843,0.4333
10.54570458,0.4274
10.71048121,0.4221
10.98510894,0.4129
11.142039064999999,0.4073
11.29896919,0.4017
11.53436438,0.3929
11.699141014999999,0.3864
11.86391765,0.3799
12.08361983,0.3708
12.24054996,0.3641
13.18213072,0.3203
13.18213072,0.3203
13.18213072,0.3203
13.18213072,0.3203
13.73138617,0.2905
14.28064162,0.2607
14.5003438,0.2476
14.82989707,0.2271
15.37915251,0.1907
15.59885469,0.17504999999999998
15.81855687,0.1594
16.47766341,0.1089
17.13676994,0.0536
17.5761743,0.0147
18.12542975,-0.0357
18.45498301,-0.0668
19.77319609,-0.1997
20.59707926,-0.28935
21.42096243,-0.379
21.97021787,-0.4433
23.06872877,-0.579
24.16723966,-0.7269
26.36426145,-1.0642
28.56128324,-1.4665
30.75830502,-1.9375
