0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,-2.0,-1.5,-1.0,-0.75,-0.5,-0.25,0.0,0.25,0.5,0.75,1.0,1.5,2.0,3.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0,85.0,90.0,95.0
1,0.0117,0.0126,0.0126,0.0126,0.0126,0.0126,0.0126,0.0126,0.0135,0.0135,0.0135,0.0135,0.0135,0.0144,0.0144,0.0162,0.0171,0.018,0.0197999999999999,0.0225,0.0252,0.0252,0.0225,0.0171,0.0072,-0.0036,-0.0126,-0.018,-0.0197999999999999,-0.0225,-0.0252,-0.0279,-0.0306
2,0.0117,0.0126,0.0126,0.0126,0.0126,0.0126,0.0126,0.0135,0.0135,0.0135,0.0135,0.0135,0.0135,0.0144,0.0153,0.018,0.0207,0.0243,0.0279,0.0279,0.0243,0.0171,0.0063,-0.0054,-0.0153,-0.0216,-0.0252,-0.0297,-0.0342,-0.0378,-0.0405,-0.0432,-0.045
3,0.0126,0.0126,0.0135,0.0135,0.0135,0.0135,0.0144,0.0144,0.0144,0.0144,0.0144,0.0153,0.0153,0.0162,0.018,0.0234,0.0288,0.0315,0.0297,0.0234,0.0126,-0.0009,-0.0144,-0.0234,-0.0297,-0.0351,-0.0414,-0.0477,-0.0522,-0.0567,-0.0594,-0.0621,-0.063
4,0.0144,0.0153,0.0153,0.0162,0.0162,0.0162,0.0171,0.0171,0.018,0.018,0.018,0.0189,0.0197999999999999,0.0216,0.0243,0.0315,0.036,0.0332999999999999,0.0243,0.0117,-0.0045,-0.0197999999999999,-0.0306,-0.0378,-0.045,-0.054,-0.0621,-0.0693,-0.0747,-0.0791999999999999,-0.0828,-0.0846,-0.0864
5,0.018,0.0189,0.0197999999999999,0.0207,0.0207,0.0216,0.0225,0.0225,0.0234,0.0234,0.0243,0.0252,0.0261,0.0279,0.0315,0.0395999999999999,0.0387,0.0297,0.0153,-0.0027,-0.0216,-0.036,-0.045,-0.054,-0.0657,-0.0765,-0.0864,-0.0945,-0.1008,-0.1062,-0.1098,-0.1125,-0.1134
6,0.0234,0.0243,0.0261,0.027,0.027,0.0279,0.0288,0.0288,0.0297,0.0306,0.0306,0.0324,0.0332999999999999,0.036,0.0405,0.045,0.0378,0.0225,0.0027,-0.0189,-0.0378,-0.0504,-0.0612,-0.0747,-0.0891,-0.1026,-0.1143,-0.1233,-0.1314,-0.1368,-0.1413,-0.1449,-0.1458
7,0.0297,0.0315,0.0324,0.0332999999999999,0.0342,0.0351,0.036,0.0369,0.0378,0.0387,0.0395999999999999,0.0414,0.0423,0.045,0.0495,0.0468,0.0332999999999999,0.0135,-0.0098999999999999,-0.0342,-0.0531,-0.0665999999999999,-0.081,-0.099,-0.117,-0.1323,-0.1458,-0.1575,-0.1656,-0.1728,-0.1782,-0.1809,-0.1818
8,0.0369,0.0387,0.0414,0.0423,0.0432,0.0441,0.045,0.0458999999999999,0.0468,0.0477,0.0486,0.0504,0.0513,0.0531,0.054,0.0458999999999999,0.027,0.0027,-0.0243,-0.0504,-0.0684,-0.0837,-0.1044,-0.1268999999999999,-0.1476,-0.1665,-0.1818,-0.1944,-0.2052,-0.2133,-0.2187,-0.2223,-0.2223
9,0.045,0.0477,0.0495,0.0513,0.0522,0.0531,0.0531,0.054,0.0549,0.0558,0.0558,0.0567,0.0576,0.0576,0.0567,0.0423,0.0197999999999999,-0.0072,-0.0378,-0.0657,-0.0846,-0.1044,-0.1305,-0.1575,-0.1818,-0.2034,-0.2214,-0.2358,-0.2484,-0.2573999999999999,-0.2646,-0.2682,-0.2663999999999999
10,0.0531,0.0558,0.0567,0.0576,0.0585,0.0594,0.0594,0.0603,0.0603,0.0603,0.0612,0.0612,0.0612,0.0603,0.0567,0.0378,0.0126,-0.018,-0.0513,-0.081,-0.1026,-0.1278,-0.1602,-0.1917,-0.2196,-0.2439,-0.2646,-0.2817,-0.2961,-0.3069,-0.3141,-0.3177,-0.3159
11,0.0594,0.0612,0.0621,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.0621,0.0612,0.0549,0.0342,0.0045,-0.0297,-0.0657,-0.0972,-0.1224,-0.1539,-0.1926,-0.2295,-0.261,-0.2889,-0.3122999999999999,-0.3321,-0.3483,-0.3609,-0.369,-0.3726,-0.3699
12,0.063,0.0639,0.0648,0.0648,0.0648,0.0648,0.0648,0.0639,0.0639,0.0639,0.063,0.063,0.0612,0.0594,0.0522,0.0297,-0.0027,-0.0405,-0.0801,-0.1143,-0.144,-0.1835999999999999,-0.2286,-0.2691,-0.306,-0.3375,-0.3645,-0.387,-0.405,-0.4194,-0.4284,-0.4311,-0.4284
13,0.0639,0.0639,0.063,0.063,0.063,0.063,0.063,0.0621,0.0621,0.0621,0.0612,0.0603,0.0594,0.0567,0.0495,0.0243,-0.0098999999999999,-0.0522,-0.0954,-0.1323,-0.1674,-0.216,-0.2663999999999999,-0.3132,-0.3537,-0.3897,-0.4203,-0.4455,-0.4662,-0.4815,-0.4923,-0.495,-0.4905
7.5,0.0603,0.0603,0.0603,0.0603,0.0603,0.0603,0.0603,0.0594,0.0594,0.0594,0.0585,0.0576,0.0567,0.054,0.0468,0.0197999999999999,-0.018,-0.0639,-0.1116,-0.1512,-0.1935,-0.2511,-0.3078,-0.36,-0.405,-0.4455,-0.4797,-0.5085,-0.5319,-0.549,-0.5607,-0.5634,-0.558
